,birth,death,race_eth,education,institution
Johanna Lindsey,1952, 2021, American, None, None
David Baldacci,1960, N/A, Caucasian, Bachelor's Degree, Virginia Commonwealth University
Tami Hoag,1959, N/A, Caucasian, Bachelor's Degree, Minnesota State University
E. Lynn Harris,1955, 2009, African American, Bachelor's Degree, University of Arkansas
David Saltzman,None, N/A, None, None, None
Nora Roberts,1950, N/A, Irish-American, Bachelor's Degree, Shepherd College
Steve Perry,1949, N/A, Caucasian, Bachelor's Degree, California State University
John Darnton,1939, N/A, American, Bachelor's Degree, Harvard University
Jane Mendelsohn,1965, N/A, American, Bachelor's Degree, Barnard College
Connie Briscoe,1957, N/A, African American, Bachelor's Degree, Howard University
Shel Silverstein,1930, 1999, White, Bachelor's Degree, University of Illinois at Urbana-Champaign
E. Annie Proulx,1935, N/A, American, Bachelor's Degree, University of Vermont
Jeff Shaara,1952, N/A, American, None, None
Tess Gerritsen,1967, N/A, American, Doctor of Medicine, University of California
Jacquelyn Mitchard,1956, N/A, Caucasian, Master's Degree, University of Wisconsin-Madison
Stuart Woods,1938, 2022, American, Bachelor's Degree, University of Georgia
Nicholas Sparks,1965, N/A, American, None, None
Julie Salamon,1955, N/A, American, Bachelor's Degree, Boston University
Daniel Silva,1960, N/A, Jewish, Bachelor's Degree, University of California
Raymond E. Feist,1945, N/A, American, Bachelor's Degree, University of California
Douglas Kennedy,1955, N/A, American, Bachelor's Degree, University of Maine
Jan Karon,1937, N/A, Caucasian, Bachelor's Degree, University of North Carolina at Chapel Hill
Pete Hamill,1935, N/A, Irish-American, Bachelor's Degree, Brooklyn College
Brad Meltzer,1970, N/A, American, Bachelor's Degree, University of Michigan
John Case,1959, N/A, Caucasian, Bachelor's Degree, Lafayette College
Mary Jo Putney,1952, N/A, White, Bachelor's Degree, University of Maryland
Joseph Kanon,1946, N/A, American, Bachelor's Degree, Harvard University
Charles Frazier,1950, N/A, White, Master's Degree, University of North Carolina at Greensboro
Catherine Coulter,1942, N/A, White, Bachelor's Degree, University of San Francisco
Arundhati Roy,1961, N/A, Indian, Bachelor's Degree, National Institute of Design
Faye Kellerman,1952, N/A, Caucasian, Bachelor's Degree, University of California
Lorenzo Carcaterra,1954, N/A, Italian-American, None, None
Kathy Reichs,1948, N/A, Caucasian, Doctorate, University of Chicago
Diane Mott Davidson,1933, N/A, American, Bachelor's Degree, University of Colorado Boulder
Elizabeth Lowell,1944, N/A, Caucasian, Bachelor's Degree, University of California
Terry Goodkind,1948, 2020, White, Bachelor's Degree, Virginia Commonwealth University
Arthur Golden,1956, N/A, Caucasian, Bachelor's Degree, Harvard University
Ted Hughes,1930, 1998, English, None, None
Christopher Reich,1961, N/A, Caucasian, Bachelor's Degree, University of California
Michael Connelly,1956, N/A, Caucasian, Bachelor's Degree, University of Florida
Brian Jacques,1939, 2011, British, None, None
Iain Pears,1955, N/A, British, Doctorate, University of Oxford
Dorothy Allison,1949, N/A, White, Bachelor's Degree, Florida State University
Gary Larson,1950, N/A, American, Bachelor's Degree, Washington State University
Jewel Kilcher,1974, N/A, Caucasian, High School Diploma, None
Helen Fielding,1958, N/A, British, Bachelor's Degree, University of East Anglia
Wally Lamb,1950, N/A, American, Bachelor's Degree, University of Connecticut
Bailey White,1950, N/A, Caucasian, Bachelor's Degree, University of Florida
Barbara Delinsky,1945, N/A, White, Bachelor's Degree, Tufts University
Linda Howard,1944, N/A, Caucasian, Bachelor's Degree, University of Alabama
Lorrie Moore,1957, N/A, American, Master's Degree, University of Wisconsin-Madison
J. K. Rowling,1965, N/A, British, Bachelor's Degree, University of Exeter
Ian McEwan,1948, N/A, British, Bachelor's Degree, University of Sussex
George R. R. Martin,1948, N/A, American, Bachelor's Degree, Northwestern University
Elizabeth Strout,1956, N/A, American, Bachelor's Degree, Bates College
Sebastian Faulks,1953, N/A, British, Bachelor's Degree, Emmanuel College
Michael Cunningham,1952, N/A, American, Bachelor's Degree, Stanford University
David Guterson,1963, N/A, Caucasian, Bachelor's Degree, University of Washington
Janet Fitch,1955, N/A, White, Bachelor's Degree, University of California
Neal Stephenson,1965, N/A, American, Bachelor's Degree, Boston University
Melissa Bank,1961, N/A, American, Bachelor's Degree, University of Pennsylvania
Melinda Haynes,1960, N/A, Caucasian, Bachelor's Degree, University of North Carolina at Chapel Hill
Janet Evanovich,1943, N/A, Caucasian, Bachelor's Degree, South Florida University
Jeffery Deaver,1950, N/A, American, Bachelor's Degree, University of Missouri
Iris Johansen,N/A, N/A, American, None, None
Orson Scott Card,1951, N/A, Caucasian, Bachelor's Degree, Brigham Young University
Dave Barry,1947, N/A, Caucasian, Bachelor's Degree, Haverford College
Kent Haruf,1943, 2014, Caucasian, Bachelor's Degree, Nebraska Wesleyan University
Robert Morgan,1937, N/A, American, Bachelor's Degree, Duke University
Christopher Paul Curtis,1953, N/A, African American, Bachelor's Degree, University of Michigan
Lisa Scottoline,1961, N/A, American, J.D., University of Pennsylvania
Tracy Chevalier,1960, N/A, British, Bachelor's Degree, Oberlin College
David Weber,1961, N/A, Caucasian, None, None
Nevada Barr,1952, N/A, American, Bachelor's Degree, University of California
Tawni O'Dell,1965, N/A, American, Bachelor's Degree, The Pennsylvania State University
Stephen Harrigan,1948, N/A, American, Bachelor's Degree, University of Texas at Austin
Greg Bear,1939, N/A, American, Bachelor's Degree, University of California
Elizabeth Peters,1927, 2013, American, PhD, University of Chicago
Michael Ondaatje,1943, N/A, Sri Lankan, Master's Degree, King's College London
Zadie Smith,1975, N/A, English, Bachelor's Degree, King's College London
Eric Jerome Dickey,1961, 2022, African American, Bachelor's Degree, University of Memphis
Ridley Pearson,1953, N/A, American, Bachelor's Degree, Southern Utah University
Stephen Hunter,1946, N/A, American, Bachelor's Degree, University of Florida
Vincent Lardo,1945, N/A, American, Bachelor's Degree, New York University
Perri O'Shaughnessy,1958, N/A, Irish-American, Bachelor's Degree, University of California
Omar Tyree,1969, N/A, African American, Bachelor's Degree, Indiana University
Elizabeth Berg,1948, N/A, American, None, None
Candace Bushnell,1958, N/A, Caucasian, Bachelor's Degree, Baird College
Christina Schwarz,1962, N/A, American, Bachelor's Degree, University of California
Christopher Rice,1978, N/A, Caucasian, Bachelor's Degree, Tulane University
Laurell K. Hamilton,1963, N/A, Caucasian, None, None
Steve Martin,1945, N/A, White, Bachelor's Degree, California State University
Alice Alfonsi,1887, 1977, Italian, Bachelor's Degree, University of Milan
John le Carre,1931, 2020, British, None, None
Michael Reaves,1953, N/A, None, None, None
Dennis Lehane,1965, N/A, Irish-American, Bachelor's Degree, Eckerd College
Susan Elizabeth Phillips,1937, N/A, American, None, None
Nuala O'Faolain,1940, 2008, Irish, Bachelor's Degree, University College Dublin
Fern Michaels,1933, N/A, American, None, None
Anita Shreve,1946, 2018, Caucasian, Bachelor's Degree, Tufts University
Kristin Hannah,1960, N/A, American, Bachelor's Degree, University of Washington
James Ellroy,1948, N/A, American, None, None
Chuck Palahniuk,1962, N/A, American, Bachelor's Degree, University of Oregon
James Luceno,1947, N/A, American, Bachelor's Degree, University of Maryland
Richard Russo,1949, N/A, American, Bachelor's Degree, University of Arizona
Lalita Tademy,1953, N/A, African American, Bachelor's Degree, University of California
Neil Gaiman,1960, N/A, English, Bachelor's Degree, University of Sussex
Alice Randall,1950, N/A, African American, Doctorate, University of Pennsylvania
Harlan Coben,1962, N/A, American, Bachelor's Degree, Amherst College
Greg Iles,1960, N/A, Caucasian, Bachelor's Degree, University of Mississippi
Nick Hornby,1957, N/A, English, None, None
Robert Crais,1953, N/A, Caucasian, Bachelor's Degree, University of Southern California
J. A. Jance,1950, N/A, Caucasian, Bachelor's Degree, University of Arizona
Jonathan Franzen,1959, N/A, American, Master's Degree, University of Iowa
Linda Fairstein,1947, N/A, White, Bachelor's Degree, Vassar College
Vince Flynn,1966, 2013, Caucasian, Bachelor's Degree, University of St. Thomas
Lawrence Block,1938, N/A, American, Bachelor's Degree, New York University
Mattie J.T. Stepanek,1990, 2014, Caucasian, None, None
Mattie J. T. Stepanek,1990, 2014, Caucasian, None, None
Troy Denning,1962, N/A, Caucasian, Bachelor's Degree, University of Miami
John Lescroart,1948, N/A, White, Bachelor's Degree, San Francisco State University
Alan Dean Foster,1946, N/A, Caucasian, Bachelor's Degree, Brigham Young University
Jasper Fforde,1961, N/A, British, Bachelor's Degree, University of Exeter
Anne Perry,1938, N/A, White, None, None
Stephen White,1951, N/A, White, Bachelor's Degree, University of Northern Colorado
Sharon Kay Penman,1945, N/A, White, Bachelor's Degree, University of California
Jonathan Safran Foer,1977, N/A, Jewish, Bachelor's Degree, Princeton University
Kate White,1951, N/A, Caucasian, Bachelor's Degree, University of New Hampshire
Stephen L. Carter,1954, N/A, African American, J.D., Yale Law School
Adèle Lang,None, None, Canadian, Bachelor's Degree, McGill University
Ann Packer,1960, N/A, American, Master's Degree, Stanford University
Alice Sebold,1963, N/A, American, Bachelor's Degree, Syracuse University
Jean M.Auel,1936, N/A, American, Bachelor's Degree, University of Oregon
Fannie Flagg,1944, N/A, Caucasian, Bachelor's Degree, University of Alabama
Adam Haslett,1970, N/A, American, MFA, University of Iowa
Alan Furst,1941, N/A, Jewish, Bachelor's Degree, Oberlin College
Michel Faber,1960, N/A, Scottish, Bachelor's Degree, University of Edinburgh
Lee Smith,1963, N/A, American, Bachelor's Degree, University of North Carolina at Greensboro
Walter Jon Williams,1943, N/A, American, Bachelor's Degree, University of New Mexico
Allison Pearson,1963, N/A, Welsh, Bachelor's Degree, University of Cambridge
Anne Lamott,1954, N/A, White, Bachelor's Degree, Gnodde College
Donna VanLiere,1966, N/A, Caucasian, Bachelor's Degree, University of Tennessee
Joel C. Rosenberg,1967, N/A, Jewish, Bachelor's Degree, George Washington University
Yann Martel,1963, N/A, Canadian, Bachelor's Degree, Carleton University
Karen Robards,1968, N/A, Caucasian, Bachelor's Degree, University of Kentucky
Stephanie Laurens,1961, N/A, British, Bachelor's Degree, University of Adelaide
Elizabeth Buchan,1948, N/A, British, Bachelor's Degree, University of East Anglia
James Siegel,1962, N/A, American, Bachelor's Degree, University of Pennsylvania
Matthew Pearl,1975, N/A, Caucasian, Bachelor's Degree, Harvard University
T. Coraghessan Boyle,1948, N/A, Caucasian, Master's Degree, University of Massachusetts Amherst
Dan Brown,1964, N/A, Caucasian, Bachelor's Degree, Amherst College
Kathleen E. Woodiwiss,1939, 2019, White, Bachelor's Degree, University of Minnesota
Bernard Cornwell,1944, N/A, British, Bachelor's Degree, University of Birth.
Lauren Weisberger,1977, N/A, Caucasian, Bachelor's Degree, Cornell University
Alexander McCall Smith,1948, N/A, Scottish, Doctorate, University of Edinburgh
Andy Andrews,1959, N/A, Caucasian, Bachelor's Degree, University of Alabama
Carolyn Parkhurst,1971, N/A, American, Bachelor's Degree, University of Vermont
Dorothea Benton Frank,1951, 2019, American, Bachelor's Degree, College of Charleston
Adriana Trigiani,1967, N/A, Italian-American, Bachelor's Degree, Barnard College
Suzanne Brockmann,1963, N/A, Caucasian, Bachelor's Degree, Northeastern University
Mark Haddon,1962, N/A, British, Bachelor's Degree, University of Oxford
Kay Hooper,1957, N/A, Caucasian, None, None
Jhumpa Lahiri,1967, N/A, Indian-American, MFA, Boston University
Audrey Niffenegger,1965, N/A, White, Master's Degree, University of Chicago
Jonathan Lethem,1964, N/A, American, Bachelor's Degree, Bennington College
Mitch Albom,1958, N/A, Caucasian, Bachelor's Degree, Alma College
Haywood Smith,1947, N/A, White, Bachelor's Degree, University of Georgia
Elisabeth Robinson,1967, N/A, White, Bachelor's Degree, Harvard University
Joseph Finder,1958, N/A, Caucasian, Bachelor's Degree, Harvard University
J. D. Robb,N/A, N/A, Irish, N/A, N/A
Jennifer Crusie,1949, N/A, White, Bachelor's Degree, Wright State University
Sarah Dunant,1950, N/A, British, None, None
Laurie R. King,1952, N/A, American, Bachelor's Degree, University of California
John Dunning,1942, N/A, American, Bachelor's Degree, University of Denver
Tom Perrotta,1961, N/A, American, Bachelor's Degree, Yale University
Edwidge Danticat,1969, N/A, Haitian, Bachelor's Degree, Barnard College
Chang-rae Lee,1965, N/A, Korean American, Master's Degree, University of Oregon
Jodi Picoult,1966, N/A, Caucasian, Bachelor's Degree, Princeton University
Plum Sykes,1971, N/A, British, Bachelor's Degree, University of Edinburgh
Lolly Winston,1965, N/A, American, Bachelor's Degree, University of California
Karen Joy Fowler,1950, N/A, American, Master's Degree, University of California
Lee Child,1954, N/A, British, N/A, N/A
Jane Green,1968, N/A, British, Bachelor's Degree, University of Reading
Randy Wayne White,1946, N/A, White, Bachelor's Degree, University of Florida
Mary Balogh,1944, N/A, Canadian, None, None
Diana Palmer,1946, N/A, American, Bachelor's Degree, University of Texas at El Paso
Karen Marie Moning,1964, N/A, Caucasian, None, None
Pamela Anderson,1967, N/A, Canadian, None, None
Susanna Clarke,1969, N/A, English, Bachelor's Degree, University of York
Kristin Gore,1977, N/A, White, Bachelor's Degree, Harvard University
Jennifer Weiner,1970, N/A, Jewish, Bachelor's Degree, Princeton University
Sophie Kinsella,1969, N/A, British, None, None
Mark Winegardner,1960, N/A, White, Master's Degree, University of Massachusetts Amherst
Alice Munro,1931, N/A, Canadian, Bachelor's Degree, University of Western Ontario
Philippa Gregory,1954, N/A, British, None, None
Zane,1874, 1932, African American, Bachelor's Degree, University of Pennsylvania
Lisa Gardner,1972, N/A, Caucasian, Bachelor's Degree, University of Massachusetts Amherst
Marilynne Robinson,1931, N/A, White American, Master’s Degree, Brown University
Curtis Sittenfeld,1976, N/A, American, Bachelor’s Degree, Stanford University
Haruki Murakami,1949, N/A, Japanese, Master's Degree, Waseda University
Mary Doria Russell,1950, N/A, Caucasian, Ph.D., University of Illinois at Chicago
Elizabeth Flock,1978, N/A, American, Bachelor's Degree, Georgetown University
Frank Delaney,1942, 2017, Irish, None, None
Matthew Stover,1964, N/A, Caucasian, None, None
Rebecca Wells,1962, N/A, American, Bachelor's Degree, Louisiana State University
Sue Monk Kidd,1948, N/A, White, Bachelor's Degree, Texas Christian University
Debbie Macomber,1940, N/A, White, N/A, N/A
Charlaine Harris,1961, N/A, American, Bachelor's Degree, University of Arkansas at Monticello
Steve Berry,1955, N/A, Caucasian, Bachelor's Degree, Vanderbilt University
Elizabeth Kostova,1979, N/A, American, Bachelor's Degree, Harvard University
John Twelve Hawks,1965, N/A, American, Bachelor's Degree, None
Tilly Bagshawe,1975, N/A, British, None, None
Brett Easton Ellis,1964, N/A, American, Bachelor's Degree, Emerson College
Ted Bell,None, N/A, White, Bachelor's Degree, University of South Florida
Douglas Preston,Douglas Preston, 1956, N/A, Caucasian, Bachelor's Degree
Robert Hicks,1951, N/A, American, Bachelor's Degree, University of Tennessee
Gregory Maguire,1954, N/A, Caucasian, Bachelor's Degree, Syracuse University
Raymond Khoury,1960, N/A, Lebanese, None, None
Julian Barnes,1946, N/A, English, N/A, N/A
Kimberla Lawson Roby,1967, N/A, African American, Bachelor's Degree, University of Illinois at Urbana-Champaign
Jay McInerney,1955, N/A, American, Bachelor's Degree, Boston University
Heather Graham,1970, N/A, Caucasian, Bachelor's Degree, University of California
T. Jefferson Parker,1953, N/A, Caucasian, Bachelor's Degree, University of California
Thomas Perry,1947, N/A, American, Bachelor's Degree, University of California
Kate Mosse,1961, N/A, British, Bachelor's Degree, University of the Arts London
Javier Sierra,1970, N/A, Spanish, Bachelor's Degree, Universidad de Zaragoza
Christopher Moore,1957, N/A, Caucasian, Bachelor's Degree, Ohio State University
Allegra Goodman,1967, N/A, American, Bachelor's Degree, Harvard University
Lisa Jackson,1961, N/A, African American, Bachelor's Degree, Princeton University
Irène Némirovsky,1903, 1942, Jewish, None, None
Wendy Wasserstein,1939, 2006, Jewish American, Bachelor's Degree, Mount Holyoke College
Gary Troup,1969, N/A, Caucasian, Bachelor's Degree, University of Virginia
Sherrilyn Kenyon,1965, N/A, American, None, None
Aaron Allston,1960, 2014, White, Bachelor's Degree, University of Florida
Sara Gruen,1977, N/A, Canadian, Bachelor's Degree, University of Victoria
Emily Giffin,1972, N/A, Caucasian, Bachelor's Degree, Wake Forest University
James Rollins,1961, N/A, American, Bachelor's Degree, University of Missouri
Luanne Rice,1955, N/A, American, Bachelor's Degree, Connecticut College
Scott Smith,1951, N/A, None, Bachelor's Degree, University of Arizona
Kathleen McGowan,1963, N/A, None, Bachelor's Degree, University of Southern California
Gordon Dahlquist,1970, N/A, White, Bachelor's Degree, Harvard University
George Pelecanos,1957, N/A, Greek American, Bachelor's Degree, University of Maryland
Marisha Pessi,1980, N/A, American, Bachelor's Degree, University of Oregon
Karin Slaughter,1971, N/A, Caucasian, None, None
Claire Messud,1966, N/A, American, Master's Degree, Harvard University
Christine Feehan,1960, N/A, Caucasian, None, None
Edward P. Jones,1950, N/A, African American, Master's Degree, University of Virginia
Diane Setterfield,1964, N/A, English, Bachelor's Degree, University of Reading
Max Brooks,1972, N/A, Jewish, Bachelor's Degree, Chapman University
Mark Z. Danielewski,1966, N/A, American, Bachelor's Degree, University of California
Drew Karpyshyn,1974, N/A, Ukrainian-American, Bachelor's Degree, University of Alberta
Dave Eggers,1970, N/A, American, Bachelor's Degree, University of Illinois at Urbana-Champaign
Lincoln Child,1957, N/A, None, Bachelor's Degree, University of Richmond
Chris Bohjalian,1962, N/A, Armenian-American, Bachelor's Degree, Bates College
Joe Hill,1972, N/A, American, Bachelor's Degree, University of Maine
Alison Weir,1951, N/A, British, None, None
Lisa Kleypas,1964, N/A, Caucasian, Bachelor's Degree, Wellesley College
Laura Lippman,1959, N/A, American, Bachelor's Degree, Wesleyan University
Lionel Shriver,1957, N/A, Caucasian, Master's Degree, University of Edinburgh
Kurt Andersen,1961, N/A, White, Bachelor's Degree, Harvard University
Kim Harrison,1970, N/A, Caucasian, Bachelor's Degree, University of Michigan
Michael Gruber,1940, N/A, American, Bachelor's Degree, University of Washington
Jim Butcher,1971, N/A, Caucasian, None, None
Mohsin Hamid,1971, N/A, Pakistani, Bachelor's Degree, Pomona College
Andrew Gross,1952, N/A, Jewish, Bachelor's Degree, University of Pennsylvania
Kelley Armstrong,1974, N/A, Canadian, Bachelor's Degree, University of Western Ontario
Khaled Hosseini,1965, N/A, Afghan, None, None
Karen Traviss,1974, N/A, British, None, None
Ann Brashares,1967, N/A, American, Bachelor's Degree, Barnard College
Holly Peterson,1968, N/A, None, Bachelor's Degree, Duke University
Lisa See,1955, N/A, Chinese-American, Bachelor's Degree, University of California
Brad Thor,1967, N/A, Caucasian, Bachelor's Degree, University of California
Harry Turtledove,1949, N/A, Caucasian, Bachelor's Degree, UCLA
Megan McCafferty,1973, N/A, Caucasian, Bachelor's Degree, Rutgers University
Nancy Horan,1958, N/A, American, Bachelor's Degree, University of Illinois at Urbana-Champaign
Amy Bloom,1952, N/A, Caucasian, Master's Degree, Yale University
Denis Johnson,1949, 2017, White, Master's Degree, University of Iowa
Chelsea Cain,1972, N/A, Caucasian, Bachelor's Degree, University of Iowa
Junot Díaz,1968, N/A, Dominican-American, Ph.D., Massachusetts Institute of Technology
Jason F. Wright,1976, N/A, Caucasian, Bachelor's Degree, Brigham Young University
Sarah Addison Allen,1971, N/A, American, Bachelor's Degree, University of North Carolina at Asheville
Terry Pratchett,1948, 2015, English, None, None
Jeff Lindsay,1963, N/A, American, Bachelor's Degree, Florida State University
Ann Patchett,1963, N/A, White, Bachelor's Degree, Sarah Lawrence College
Donald McCaig,1939, N/A, White, Bachelor's Degree, College of William & Mary
Geraldine Brooks,1955, N/A, Australian, Bachelor's Degree, Sydney University
Charles Bock,1975, N/A, Caucasian, Master's Degree, New York University
Kendall Hart,None, N/A, None, None, None
Alex Berenson,1973, N/A, White, Bachelor's Degree, Yale University
Lauren Groff,1978, N/A, American, Master's Degree, Sarah Lawrence College
Jacqueline Winspear,1970, N/A, British, Bachelor's Degree, University of London
Mary Kay Andrews,1954, N/A, Caucasian, Bachelor's Degree, University of Georgia
Richard Price,1949, N/A, American, Bachelor's Degree, New York University
Marisa de los Santos,1973, N/A, American, Bachelor's Degree, Smith College
Meg Wolitzer,1959, N/A, White, Bachelor's Degree, Barnard College
Carol Higgins Clark,1927, N/A, Caucasian, Bachelor's Degree, Mount Holyoke College
Tom Rob Smith,1979, N/A, British, Bachelor's Degree, University of East Anglia
Stephenie Meyer,1973, N/A, Caucasian, Bachelor's Degree, Brigham Young University
James Frey,1970, N/A, American, Bachelor's Degree, University of Wisconsin-Madison
Garth Stein,1967, N/A, American, Bachelor's Degree, University of California
David Wroblewski,1961, N/A, American, Bachelor's Degree, University of Wisconsin-Madison
Brunonia Barry,1964, N/A, American, Bachelor's Degree, University of California
Andrew Davidson,1973, N/A, Canadian, Bachelor's Degree, University of Alberta
David Ebershoff,1970, N/A, American, Master's Degree, Columbia University
Sean Williams,1976, N/A, None, Bachelor's Degree, University of Nebraska at Omaha
Stieg Larsson,1954, 2004, Swedish, None, None
Katherine Neville,1945, N/A, American, Master's Degree, University of California
Sister Souljah,1969, N/A, African American, None, None
W. E.B. Griffin,1929, 2019, Caucasian, None, None
Janice Y. K. Lee,1974, N/A, Chinese-American, N/A, N/A
Josh Bazell,1979, N/A, American, Doctor of Medicine, Columbia University
Patricia Briggs,1976, N/A, American, Bachelor's Degree, None
T. C. Boyle,1948, N/A, White, Master's Degree, University of California
Spencer Quinn,1953, N/A, White, Bachelor's Degree, University of Southern California
Joanne Fluke,1951, N/A, American, Bachelor's Degree, University of Minnesota
Kathryn Stockett,1969, N/A, Caucasian, Bachelor’s Degree, University of Alabama
Jamie Ford,1975, N/A, Asian American, Bachelor's Degree, University of Washington
Jennifer Chiaverini,1971, N/A, Caucasian, Bachelor's Degree, University of California
John L. Parker Jr.,1948, N/A, White, Bachelor's Degree, University of Florida
Ted Dekker,1962, N/A, Caucasian, Bachelor's Degree, University of Texas at Tyler
William R. Forstchen,1950, N/A, American, Bachelor's Degree, Purdue University
Sandra Dallas,1944, N/A, White, Bachelor's Degree, University of Denver
Christie Golden,1965, N/A, American, Bachelor's Degree, University of California
J. R. Ward,1972, N/A, American, None, None
John Hart,1965, N/A, Caucasian, Bachelor's Degree, University of North Carolina at Chapel Hill
MaryJanice Davidson,1977, N/A, American, Bachelor's Degree, University of Minnesota
Katherine Howe,1976, N/A, White, Master's Degree, University of Virginia
Carlos Ruiz Zafón,1964, 2020, Spanish, Bachelor's Degree, University of Barcelona
Elin Hilderbrand,1970, N/A, Caucasian, Bachelor's Degree, Johns Hopkins University
"J. A, Jance",1950, N/A, Caucasian, Bachelor's Degree, University of Arizona
Nancy Grace,1959, N/A, Caucasian, Juris Doctor, Mercer University School of Law
Lev Grossman,1979, N/A, Jewish, Bachelor's Degree, Harvard University
S. M. Stirling,1953, N/A, Caucasian, None, None
Jeannette Walls,1960, N/A, Caucasian, Bachelor's Degree, Barnard College
Richard Castle,None, N/A, Caucasian, None, None
Joe Schreiber,1974, N/A, American, Bachelor's Degree, University of Nebraska-Lincoln
Hilary Mantel,1952, N/A, British, Bachelor's Degree, University of Sheffield
Leila Meacham,1942, N/A, Caucasian, Bachelor's Degree, Texas Christian University
Sarah Blake,1973, N/A, White, Bachelor's Degree, Princeton University
Henning Mankell,1948, 2015, Swedish, None, None
Cathleen Schine,1953, N/A, Jewish, Bachelor's Degree, Barnard College
Seth Grahame-Smith,1976, N/A, White, Bachelor's Degree, Kenyon College
Danielle Trussoni,1970, N/A, American, Bachelor's Degree, University of Wisconsin-Madison
Helen Simonson,1964, N/A, British, Bachelor's Degree, University of East Anglia
Francine Rivers,1936, N/A, Caucasian, Bachelor's Degree, University of Nevada
Karl Marlantes,1944, N/A, American, Bachelor's Degree, Yale University
Tom Rachman,1974, N/A, Canadian, Bachelor's Degree, University of Toronto
Justin Cronin,1962, N/A, Caucasian, Master's Degree, University of Iowa
Glenn Beck,1964, N/A, Caucasian, Bachelor's Degree, Yale University
David Mitchell,1969, N/A, British, Bachelor's Degree, University of Kent
Aimee Bender,1971, N/A, White, Master's Degree, University of California
Tana French,1973, N/A, Irish, Bachelor's Degree, Trinity College Dublin
Gary Shteyngart,1972, N/A, Jewish-Russian, Master's Degree, Hunter College
Anne Fortier,1971, N/A, Italian, Bachelor's Degree, University of Pisa
Brandon Sanderson,1975, N/A, American, Bachelor’s Degree, Brigham Young University
Emma Donoghue,1969, N/A, Irish, Master's Degree, University College Dublin
Tatiana de Rosnay,1961, N/A, French, N/A, N/A
David Sedaris,1956, N/A, American, None, None
Kristen Britain,1970, N/A, None, Bachelor's Degree, University of Massachusetts Amherst
Eleanor Brown,1972, N/A, White, Master's Degree, University of Iowa
Dana Stabenow,1964, N/A, Caucasian, Bachelor's Degree, University of Alaska Anchorage
Deborah Harkness,1965, N/A, Caucasian, Ph.D., Northwestern University
Alan Bradley,1938, N/A, Canadian, Bachelor's Degree, University of Alberta
Karen Russell,1981, N/A, American, Bachelor's Degree, Northwestern University
J.A. Jance,J.A. Jance: 1944, N/A, Caucasian, Bachelor's Degree, University of Arizona
Paula McLain,1977, N/A, American, Bachelor's Degree, University of Alabama
Patrick Rothfuss,1973, N/A, White, Bachelor's Degree, University of Wisconsin-Stevens Point
Anne Bishop,1955, N/A, Caucasian, Bachelor's Degree, The University of Illinois at Urbana-Champaign
Tea Obreht,1985, N/A, Serbian-American, Bachelor's Degree, University of Southern California
C. J. Box,1965, N/A, Caucasian, Bachelor's Degree, Colorado State University
Paul S. Kemp,1970, N/A, American, Bachelor's Degree, University of Iowa
Francine Pascal,1938, N/A, American, Bachelor's Degree, University of California
David Foster Wallace,1962, 2008, American, Bachelor's Degree, Amherst College
Carolyn Hennesy,1962, N/A, Caucasian, None, None
Diane Miller,None, None, None, None, None
Kyung-Sook Shin,1963, N/A, Korean, Master's Degree, Hanyang University
Jack Campbell,1956, N/A, American, Bachelor's Degree, University of Minnesota
Jen Lancaster,1974, N/A, Caucasian, Bachelor's Degree, University of Illinois Urbana-Champaign
Jo Nesbo,1960, N/A, Norwegian, Bachelor's Degree, Norwegian School of Economics
Albert Brooks,1947, N/A, Jewish-American, None, None
Nalini Singh,1977, N/A, Indian, Bachelor's Degree, Victoria University of Wellington
Daniel H. Wilson,1978, N/A, American, PhD, Carnegie Mellon University
J. Courtney Sullivan,1976, N/A, Irish-American, Bachelor's Degree, College of the Holy Cross
Lars Kepler,N/A, N/A, Swedish, None, None
S. J. Watson,1971, N/A, British, None, None
Amor Towles,1964, N/A, Caucasian, Bachelor's Degree, Yale University
Louise Penny,1960, N/A, Canadian, Bachelor's Degree, University of Toronto
Vanessa Diffenbaugh,1978, N/A, Caucasian, Bachelor's Degree, Stanford University
Chad Harbach,1975, N/A, American, Master's Degree, University of Virginia
Erin Morgenstern,1978, N/A, White, Bachelor's Degree, Smith College
Michael Savage,1942, N/A, Jewish, Bachelor's Degree, New York University
Michael Brandman,1945, N/A, None, None, None
Paulo Coelho,1947, N/A, Brazilian, None, None
James Wesley Rawles,1960, N/A, American, Bachelor's Degree, None
Jeffrey Eugenides,1960, N/A, Greek-American, Master's Degree, Brown University
Colson Whitehead,1979, N/A, African American, Master's Degree, University of California
Kresley Cole,1978, N/A, American, Bachelor's Degree, University of Kentucky
Lara Adrian,1975, N/A, White, Bachelor's Degree, University of Massachusetts Amherst
Tim Dorsey,1961, N/A, White, Bachelor's Degree, Florida State University
William Landay,1963, N/A, American, Bachelor's Degree, Boston College
Adam Johnson,1974, N/A, American, Master's Degree, Iowa Writers' Workshop
Deborah Crombie,1952, N/A, White, Bachelor's Degree, University of Texas at Austin
Paul Garrison,1942, N/A, White, Bachelor's Degree, University of Southern California
Lisa Lutz,1970, N/A, Caucasian, Bachelor's Degree, Pitzer College
Chris Pavone,1975, N/A, Caucasian, Bachelor's Degree, Georgetown University
Sanjay Gupta,1970, N/A, Indian-American, Doctor of Medicine, University of Michigan Medical School
